1000 3000
0 1 43
0 2 6
0 3 34
0 6 7
0 15 7
0 144 19
0 464 13
0 756 35
0 851 32
0 565 43
0 598 5
1 7 30
1 11 11
1 14 17
1 18 21
1 40 32
1 76 28
1 103 31
1 271 17
1 922 18
1 389 25
1 565 29
1 894 17
1 32 2
1 210 6
2 4 46
2 5 15
2 9 26
2 13 13
2 97 18
2 161 19
2 563 31
2 50 32
2 655 15
2 203 9
3 21 13
3 23 5
3 25 13
3 87 47
3 219 17
3 234 13
3 308 27
3 439 19
3 816 22
3 116 17
3 176 41
3 663 20
3 847 31
3 793 20
3 545 25
4 17 26
4 34 48
4 221 3
4 325 14
4 393 19
4 758 40
4 923 45
4 454 40
4 492 29
5 19 46
5 53 28
5 77 42
5 102 22
5 499 27
5 956 39
5 130 42
5 770 43
6 67 3
6 321 37
6 796 20
6 276 41
6 457 31
6 422 34
6 309 19
6 718 2
7 8 25
7 10 30
7 44 16
7 795 14
7 617 10
7 233 22
7 512 16
8 38 45
8 553 39
8 971 36
8 511 8
8 554 3
8 350 10
8 376 8
8 815 13
9 20 8
9 22 44
9 33 13
9 173 20
9 397 17
9 569 19
9 653 6
9 959 21
9 82 48
10 26 9
10 46 25
10 509 28
10 705 26
10 66 43
10 179 36
11 12 35
11 43 12
11 49 15
11 54 21
11 82 29
11 94 42
11 156 34
11 279 40
11 307 33
11 963 6
11 100 6
12 36 24
12 116 32
12 193 46
12 214 12
12 436 7
13 35 31
13 58 47
13 73 20
13 131 22
13 443 25
13 186 25
13 294 28
13 290 39
13 15 45
13 772 38
13 489 7
14 16 19
14 24 38
14 37 25
14 122 43
14 261 45
14 292 27
14 298 19
14 505 4
14 48 46
14 94 15
14 986 22
14 665 8
15 75 43
15 325 20
15 952 25
15 150 11
15 371 10
15 378 15
15 640 29
16 341 37
16 688 3
16 381 30
16 17 12
17 27 45
17 28 30
17 31 33
17 269 29
17 736 20
17 935 5
17 463 8
17 193 26
17 565 46
17 297 38
17 408 23
17 337 35
17 694 31
