10000 20000
0 1 40541
0 4 87986
0 114 60223
0 358 53558
0 1147 151790
0 1693 138085
0 1761 183476
0 9661 52888
0 6556 175039
1 2 97310
1 3 34678
1 7 124998
1 44 69380
1 1829 180951
1 1220 97084
2 267 119200
2 1667 71838
2 2147 49762
2 2272 137716
2 3363 39318
2 4202 89122
2 5728 86170
2 5116 8281
2 2975 147588
2 7585 41745
3 6 96469
3 9 158799
3 301 47101
3 837 124514
3 1468 132063
3 2706 25452
4 5 211632
4 13 49862
4 17 64422
4 37 137244
4 646 172976
4 715 102482
4 3370 114771
4 3692 11560
4 14 163065
5 8 161594
5 41 147071
5 61 198951
5 128 185010
5 144 189016
5 311 111812
5 1031 213507
5 2705 41074
5 4454 193165
5 7440 102116
6 12 77247
6 23 173024
6 120 208277
6 705 126263
6 5903 119839
6 5873 168529
6 1964 201146
7 10 177946
7 26 200061
7 392 74949
7 808 175990
7 818 172182
7 1068 185544
7 1557 4032
7 1775 140883
7 2066 122904
7 3977 33352
7 4313 101420
8 35 111267
8 45 185757
8 282 26706
8 9973 36065
8 1588 105159
9 11 47752
9 19 187915
9 50 74288
9 58 109213
9 66 116242
9 198 197638
9 222 44692
9 223 118658
9 241 104176
9 564 178864
9 2753 211010
9 3938 30565
9 9559 152672
9 3177 146440
9 4321 196957
9 1368 162490
10 21 181366
10 28 158301
10 182 134910
10 2129 12086
10 4209 182334
10 4864 73142
10 8947 23002
10 250 169703
10 3439 122423
11 22 1969
11 40 98076
11 42 62238
11 156 24493
11 226 21485
11 266 135331
11 378 5017
11 1656 166200
11 4788 206012
11 8483 178729
11 4879 50012
11 1069 174800
12 20 77499
12 46 201195
12 235 154458
12 2504 134596
12 6931 113684
12 3811 172939
12 8541 30431
13 14 102210
13 15 207764
13 18 66836
13 718 139237
13 908 107615
13 3434 190508
13 1589 152736
14 34 202448
14 49 26484
14 51 154538
14 78 34432
14 215 65777
14 264 148307
14 295 105557
14 1247 38602
14 1391 182888
14 3223 43648
14 6211 38544
14 1613 74673
14 3415 109691
14 3525 179197
15 16 162771
15 32 100200
15 47 126708
15 105 17327
15 315 115685
15 658 117627
15 898 144380
15 1099 193760
15 1606 81580
15 2134 95577
15 4307 53458
16 29 120334
16 3432 37327
16 3859 20384
16 5509 209326
17 507 29476
17 2376 198655
17 3967 170215
17 8776 184447
17 7671 124041
17 4597 157216
18 72 44839
18 73 150267
18 4615 191033
18 6052 65488
18 6481 173852
18 8529 210516
18 9648 19101
18 52 185907
18 5418 3447
19 1279 71664
19 6723 181407
19 8177 75900
19 4191 120537
19 4644 153097
20 24 24354
20 81 178108
20 283 71407
20 782 107525
20 1188 139857
20 8075 49481
20 8166 118627
20 8883 27072
20 9002 25116
21 27 175020
21 30 13587
21 85 162156
21 195 203602
21 932 160526
21 933 186128
21 5639 7496
21 9502 155720
21 9010 692
21 5724 20192
21 4614 150597
22 25 104741
22 53 188131
22 289 179426
22 382 185307
22 3057 68786
22 3401 8400
23 39 106768
23 68 66560
23 166 136229
23 259 212865
23 330 184121
23 1082 94496
23 1983 210164
23 2181 196471
23 2703 109697
