100 200
0 1 28
0 2 73
0 5 42
0 7 29
0 50 29
0 51 13
0 2 25
1 3 87
1 9 76
1 11 76
1 13 77
1 34 22
1 39 89
2 4 26
2 6 80
2 21 79
2 35 2
2 64 87
2 75 88
2 11 63
2 88 82
2 30 91
3 8 33
3 15 9
3 16 17
3 31 94
3 71 47
4 23 12
4 46 63
4 65 98
5 37 89
5 88 63
6 41 92
7 12 58
7 83 69
7 96 100
7 35 96
7 8 8
7 65 15
7 39 53
8 10 64
8 27 57
8 36 13
8 52 6
8 97 62
9 32 99
9 99 1
9 82 25
10 14 90
10 17 15
10 24 8
10 77 43
10 83 62
11 30 67
11 39 85
11 47 76
11 51 44
11 12 60
12 20 41
12 29 44
13 86 45
13 98 94
13 35 26
14 19 26
16 29 34
17 18 3
17 58 37
17 32 27
17 59 84
17 58 26
17 22 67
18 49 81
18 59 10
18 84 31
18 98 68
19 48 91
19 65 58
19 69 49
20 77 95
21 22 14
21 38 54
22 25 96
22 72 20
22 55 61
23 52 46
23 63 89
23 55 9
23 62 12
24 26 92
24 98 55
24 43 100
25 54 41
25 62 14
25 77 11
25 93 42
27 28 76
27 53 33
27 55 54
27 56 95
27 29 7
27 62 68
28 34 81
28 45 8
28 74 73
29 67 8
29 94 67
29 67 31
30 42 51
30 43 62
30 32 51
30 61 89
30 72 41
31 33 53
31 34 5
31 97 28
32 79 87
33 40 16
33 44 15
33 87 17
33 57 70
33 66 26
34 61 58
34 34 63
35 66 44
35 85 50
35 50 19
35 80 51
36 69 66
36 59 85
38 41 34
39 82 7
39 67 23
40 47 9
40 96 99
40 76 67
40 89 39
41 56 27
41 72 64
41 58 42
42 60 79
42 69 14
44 68 37
44 80 56
45 82 46
45 74 70
46 85 1
47 85 17
47 89 19
48 90 7
48 55 45
48 95 1
48 90 23
49 57 23
49 65 18
49 76 15
50 57 38
50 58 15
51 75 9
52 88 99
52 60 63
53 71 60
54 86 36
54 98 80
55 97 66
56 65 93
56 98 95
57 70 26
57 92 6
57 82 66
57 59 74
57 82 92
58 82 48
59 88 100
59 96 80
62 63 9
62 70 50
63 93 62
64 81 89
65 94 17
68 78 59
68 99 60
69 76 36
70 73 60
70 83 9
70 87 7
71 93 61
74 93 23
74 90 7
77 97 3
77 96 58
77 89 8
78 92 1
79 94 93
79 95 9
83 89 76
83 91 71
83 91 66
85 91 21
87 95 9
94 94 25
