100 200
0 1 21
0 4 41
0 5 18
0 13 5
0 43 8
0 49 38
1 2 25
1 3 23
1 6 34
1 29 46
1 53 2
1 65 16
1 66 5
1 73 13
2 7 32
2 19 16
2 88 4
3 9 31
3 10 41
3 11 13
3 55 47
3 85 36
3 48 44
4 55 24
4 17 41
5 8 16
5 39 8
6 14 6
6 45 16
6 31 44
6 35 19
7 27 39
7 44 15
7 50 23
7 56 2
7 55 15
8 34 38
8 28 17
8 74 33
8 13 48
9 15 9
9 31 29
9 46 24
10 26 4
10 62 12
10 82 10
10 71 48
10 42 48
10 93 27
10 16 22
10 83 15
10 76 17
10 89 44
11 12 33
11 13 5
11 23 28
11 95 39
11 39 29
12 16 8
12 28 43
12 47 14
12 90 22
12 71 22
13 63 37
13 74 12
13 28 44
13 56 40
14 18 4
14 20 3
14 72 8
14 79 36
14 95 44
14 72 35
14 80 2
14 44 3
15 17 17
15 70 46
15 26 5
16 22 17
16 88 49
16 51 7
16 53 32
18 60 37
18 91 32
18 94 38
19 21 43
19 47 10
19 58 5
19 28 44
20 33 23
20 97 43
20 63 41
21 30 23
21 37 19
21 38 44
21 52 47
21 68 46
21 69 4
21 81 47
22 24 39
22 92 18
22 89 12
23 25 49
23 75 10
23 43 29
24 67 41
24 70 47
24 29 35
25 95 28
25 50 15
25 58 9
26 32 29
27 43 6
27 84 20
27 36 9
27 31 36
28 81 27
28 85 44
28 87 12
28 56 29
28 53 49
29 41 9
29 57 9
30 34 31
30 99 21
31 36 28
33 35 10
33 93 42
33 59 15
34 83 13
35 40 43
35 61 10
35 64 40
35 38 40
35 35 16
36 42 48
36 76 40
36 93 33
36 99 23
36 51 22
36 82 42
36 88 24
40 57 12
40 43 42
40 72 6
40 82 28
41 49 28
41 59 49
41 57 40
42 58 25
43 48 15
43 56 37
43 66 24
43 97 19
44 62 39
44 51 18
44 87 8
44 69 40
45 61 12
46 68 7
46 69 10
46 47 17
46 73 23
47 61 30
48 73 9
49 51 43
49 54 44
49 50 15
50 77 16
50 75 39
51 78 8
51 99 28
51 58 11
52 76 35
53 83 7
55 94 18
56 68 8
57 64 7
58 80 4
58 94 46
60 71 7
60 93 7
63 89 42
63 69 28
63 78 38
64 83 32
65 69 37
66 99 36
67 98 5
67 72 21
67 91 25
67 96 9
69 75 43
70 93 22
75 90 44
75 94 35
75 87 19
78 86 22
78 96 46
97 98 36
