,method,n,m,timeGPU,checkGPU,timeCPU,checkCPU
0,0,100,1000,0.004808126,TRUE,0.571234465,TRUE
1,1,100,1000,0.001996691,TRUE,0.465779781,TRUE
2,2,100,1000,0.002465963,TRUE,0.688971758,TRUE
3,3,100,1000,0.00267911,TRUE,1.266740561,TRUE
4,0,100,1000,0.001717767,TRUE,0.570101023,TRUE
5,1,100,1000,0.00122999,TRUE,0.399804115,TRUE
6,2,100,1000,0.001770735,TRUE,0.527549505,TRUE
7,3,100,1000,0.001718998,TRUE,0.989157438,TRUE
8,0,100,2000,0.001345438,TRUE,0.648140669,TRUE
9,1,100,2000,0.002056677,TRUE,0.574883938,TRUE
10,2,100,2000,0.003049612,TRUE,0.816151619,TRUE
11,3,100,2000,0.001562119,TRUE,2.090046883,TRUE
12,0,100,2000,0.001252425,TRUE,0.672819376,TRUE
13,1,100,2000,0.001209374,TRUE,0.543298721,TRUE
14,2,100,2000,0.002868414,TRUE,0.797746658,TRUE
15,3,100,2000,0.001205444,TRUE,1.925560474,TRUE
16,0,100,10000,0.003083912,TRUE,1.933605433,TRUE
17,1,100,10000,0.001668009,TRUE,2.142763853,TRUE
18,2,100,10000,0.002367258,TRUE,2.662391663,TRUE
19,3,100,10000,0.001252651,TRUE,8.048499823,TRUE
20,0,100,10000,0.001701434,TRUE,1.932962179,TRUE
21,1,100,10000,0.001693775,TRUE,2.144098759,TRUE
22,2,100,10000,0.002209663,TRUE,2.669035435,TRUE
23,3,100,10000,0.001084805,TRUE,7.679620743,TRUE
24,0,500,5000,0.006861217,TRUE,11.10729814,TRUE
25,1,500,5000,0.005796011,TRUE,9.714450121,TRUE
26,2,500,5000,0.008034229,TRUE,13.29593205,TRUE
27,3,500,5000,0.003744602,TRUE,33.92065358,TRUE
28,0,500,5000,0.005609587,TRUE,11.25614715,TRUE
29,1,500,5000,0.005797451,TRUE,9.949647903,TRUE
30,2,500,5000,0.007065773,TRUE,13.33035779,TRUE
31,3,500,5000,0.003475428,TRUE,34.23222566,TRUE
32,0,500,10000,0.006174035,TRUE,16.12308335,TRUE
33,1,500,10000,0.02140159,TRUE,17.411901,TRUE
34,2,500,10000,0.007431507,TRUE,20.49708056,TRUE
35,3,500,10000,0.004015446,TRUE,66.72642064,TRUE
36,0,500,10000,0.008404445,TRUE,16.38066745,TRUE
37,1,500,10000,0.022832441,TRUE,17.411479,TRUE
38,2,500,10000,0.008989096,TRUE,20.34053445,TRUE
39,3,500,10000,0.004142046,TRUE,66.50092793,TRUE
40,0,500,50000,0.008561932,TRUE,48.97957277,TRUE
41,1,500,50000,0.029530147,TRUE,59.12110519,TRUE
42,2,500,50000,0.01139164,TRUE,68.97907448,TRUE
43,3,500,50000,0.006654501,TRUE,242.5366728,TRUE
44,0,500,50000,0.012035736,TRUE,49.49554253,TRUE
45,1,500,50000,0.029206708,TRUE,59.40461493,TRUE
46,2,500,50000,0.011009693,TRUE,68.73040438,TRUE
47,3,500,50000,0.006239176,TRUE,248.3231521,TRUE
